cif,company_group,income_type,length_of_residence_year,edu_level_group,current_job_group,total_income,estimated_income,collateral_value,dependence,marriage_status,age,gender,loan_amount,interest,duration,time_in_job,time_in_current_job,labor_contract_date,is_bad,created_at
2010000023,tổ chức ngoài công lập,tiền mặt,10.5,trung cấp,unknown,15000000,5333333.333,1035300000,1,khác,39,1,400000000,0.11,240,tu5,0,,FALSE,42:46.0
7000002164,tổ chức ngoài công lập,khác,6.083333333,trung cấp,unknown,26500000,7875000,804778500,2,có gia đình,37,1,450000000,0.11,120,tu3den4nam,0,,FALSE,47:21.0
500009059,tổ chức ngoài công lập,khác,11.08333333,trung cấp,unknown,30000000,13125000,9374578511,1,khác,56,2,750000000,0.11,120,duoi1nam,0,,FALSE,24:41.0
490001453,doanh nghiệp khác,tiền mặt,11,đại học,white_manager,90000000,53730255.89,12177860000,7,có gia đình,42,2,5000000000,0.1,180,tu3den4nam,3.85,09/02/2018,FALSE,12:45.0
130122106,tổ chức ngoài công lập,tiền mặt,15,trung cấp,unknown,36000000,23988341.87,5155120000,1,có gia đình,53,2,2000000000,0.1,143,tu3den4nam,0,,FALSE,30:29.0
7000003488,tổ chức công,chuyển khoản,34,đại học,white_staff,15209262,4728262.518,641055400,1,độc thân,34,1,440000000,0.1,180,tu5,10.45,14/01/2011,FALSE,21:37.0
900009563,tổ chức ngoài công lập,tiền mặt,2.083333333,cao đẳng,unknown,17000000,4980355.208,2820977000,2,có gia đình,54,2,300000000,0.1,84,tu1den3nam,0,,FALSE,31:47.0
900009563,tổ chức ngoài công lập,tiền mặt,1.666666667,cao đẳng,unknown,17000000,6640473.611,2820977000,2,có gia đình,53,2,400000000,0.1,84,tu1den3nam,0,,FALSE,51:56.0
720002203,doanh nghiệp khác,tiền mặt,4,đại học,white_staff,50000000,21492102.35,5996733000,2,có gia đình,36,2,2000000000,0.1,180,tu5,15.37,01/02/2006,FALSE,06:14.0
130123970,tổ chức ngoài công lập,khác,2.666666667,cao đẳng,unknown,82500000,52500000,7055771200,1,có gia đình,33,1,4200000000,0.11,300,tu5,0,,FALSE,36:21.0
130124311,tổ chức ngoài công lập,tiền mặt,5,trung cấp,unknown,43000000,9136229.226,622354500,7,có gia đình,45,2,430000000,0.1,60,tu5,0,,FALSE,25:57.0
4000006361,tổ chức công,chuyển khoản,9,đại học,white_staff,58753033,26865127.94,3824379597,2,có gia đình,37,2,2500000000,0.1,180,tu1den3nam,1.21,30/11/2020,FALSE,47:08.0
130126313,tổ chức ngoài công lập,khác,8.666666667,trung cấp,unknown,71260000,21375000,2277895000,1,có gia đình,45,1,1350000000,0.14,240,tu5,0,,FALSE,03:54.0
540001152,doanh nghiệp lớn,chuyển khoản,3.833333333,đại học,white_manager,278243717,61250000,6175148864,1,độc thân,27,1,4900000000,0.11,300,tu1den3nam,0.6,01/12/2021,FALSE,16:24.0
3100000123,doanh nghiệp khác,chuyển khoản,38.75,đại học,white_manager,115169306,18690476.19,2266000000,7,có gia đình,38,2,1000000000,0.11,105,tu5,2.39,15/11/2019,FALSE,50:53.0
510002640,tổ chức ngoài công lập,tiền mặt,21.66666667,đại học,unknown,215958333,64490740.74,4390740000,1,có gia đình,60,1,3500000000,0.11,108,tu1den3nam,0,,FALSE,05:37.0
920001703,doanh nghiệp khác,chuyển khoản,33.33333333,trung cấp,unknown,15578167,5311761.178,1696082800,1,độc thân,33,1,250000000,0.1,60,duoi1nam,0.53,01/10/2020,FALSE,23:48.0
4000008583,tổ chức ngoài công lập,khác,15.41666667,trung cấp,business,77103333,27400000,2936471170,2,có gia đình,46,1,2055000000,0.11,240,tu5,0,,FALSE,12:44.0
120065066,doanh nghiệp khác,tiền mặt,18,cao đẳng,white_staff,62000000,24715917.71,2880955000,7,có gia đình,45,2,2300000000,0.1,180,tu1den3nam,0.04,26/04/2021,FALSE,13:19.0
6000019868,tổ chức công,tiền mặt,5.833333333,đại học,unknown,47266261,7388888.889,3469595400,2,có gia đình,36,1,200000000,0.11,36,tu5,4.16,25/05/2018,FALSE,33:07.0
6000019868,tổ chức công,tiền mặt,5,đại học,unknown,26844296,7039343.109,3276374700,2,có gia đình,36,1,500000000,0.1,108,tu5,3.56,25/05/2018,FALSE,09:35.0
800013767,tổ chức ngoài công lập,khác,6.666666667,đại học,unknown,68000000,43809523.81,13540000000,1,có gia đình,57,2,2000000000,0.12,84,duoi1nam,0,,FALSE,14:13.0
800013781,doanh nghiệp khác,tiền mặt,8.833333333,đại học,white_staff,64435719,33333333.33,6474203000,2,có gia đình,37,1,2500000000,0.11,240,tu1den3nam,1.44,01/03/2021,FALSE,59:36.0
1130006812,tổ chức ngoài công lập,tiền mặt,9.833333333,đại học,unknown,196087810,73611111.11,9555120000,1,có gia đình,52,2,5000000000,0.11,180,duoi1nam,0,,FALSE,07:53.0
4000011174,tổ chức công,tiền mặt,13.16666667,đại học,white_manager,40631260,7666666.667,792000000,2,có gia đình,41,2,350000000,0.12,84,tu5,17.28,01/08/2005,FALSE,26:40.0
5400000818,doanh nghiệp khác,tiền mặt,12.91666667,trung cấp,white_staff,43000000,5810414.409,4137291450,2,có gia đình,39,1,350000000,0.1,84,tu1den3nam,2.83,01/05/2018,FALSE,59:57.0
5200002481,doanh nghiệp khác,tiền mặt,2.416666667,đại học,unknown,23000000,8000000,1695225600,2,có gia đình,37,1,600000000,0.11,240,tu1den3nam,0.05,19/08/2022,FALSE,01:53.0
5200002481,doanh nghiệp khác,tiền mặt,2.25,đại học,unknown,23000000,6666666.667,722131538,2,có gia đình,37,1,500000000,0.11,240,tu1den3nam,0.02,15/06/2022,FALSE,53:06.0
720005017,doanh nghiệp khác,tiền mặt,13,đại học,white_manager,72983333,16119076.77,7482332000,2,có gia đình,39,2,1500000000,0.1,180,duoi1nam,0.58,02/05/2021,FALSE,44:46.0
130136578,tổ chức ngoài công lập,khác,4.166666667,trung cấp,unknown,35000000,23750000,2165130000,2,có gia đình,29,1,1500000000,0.14,240,tu3den4nam,0,,FALSE,05:42.0
5010005337,tổ chức ngoài công lập,tiền mặt,4.083333333,trung cấp,unknown,21000000,5810414.409,2284650000,1,khác,48,1,350000000,0.1,84,tu1den3nam,0,,FALSE,46:29.0
5600002995,doanh nghiệp khác,chuyển khoản,1.333333333,đại học,white_staff,121961326,38600865.8,7619707000,2,có gia đình,32,2,4000000000,0.1,240,,3.62,24/08/2018,FALSE,53:07.0
5600002995,doanh nghiệp khác,chuyển khoản,1,đại học,white_staff,70787879,17370389.61,2830000000,2,có gia đình,32,2,1800000000,0.1,240,tu5,3.37,24/08/2018,FALSE,56:52.0
1140004941,tổ chức ngoài công lập,khác,11,đại học,white_manager,1153296360,63194444.44,7770455800,2,khác,44,1,5000000000,0.11,288,tu5,0,,FALSE,28:12.0
100128541,tổ chức ngoài công lập,khác,7.416666667,trung cấp,unknown,76850000,3875000,2218140000,1,có gia đình,38,2,150000000,0.11,60,tu1den3nam,0,,FALSE,34:58.0
5600003422,doanh nghiệp khác,tiền mặt,0,đại học,white_manager,60000000,29014338.18,6243100000,1,có gia đình,47,1,2700000000,0.1,180,tu4den5nam,0.03,03/12/2021,FALSE,55:31.0
5600003594,tổ chức ngoài công lập,khác,36.25,đại học,white_manager,162799999.8,66666666.67,8427476400,3,có gia đình,36,1,5000000000,0.11,240,tu3den4nam,0,,FALSE,57:15.0
500018945,doanh nghiệp khác,chuyển khoản,3,đại học,white_staff,63507076,11580259.74,1805000000,1,có gia đình,33,1,1200000000,0.1,240,tu5,2.97,01/12/2018,FALSE,04:23.0
500018945,tổ chức ngoài công lập,khác,2,đại học,white_staff,33892534,11580259.74,1855470000,1,có gia đình,33,1,1200000000,0.1,240,tu5,2.56,01/12/2018,FALSE,22:28.0
500018945,doanh nghiệp khác,chuyển khoản,3,đại học,white_staff,52728502,11580259.74,1805000000,1,có gia đình,33,1,1200000000,0.1,240,tu5,2.82,01/12/2018,FALSE,59:58.0
4000014287,tổ chức công,khác,7.166666667,đại học,white_manager,45499263,12000000,2145240000,1,có gia đình,44,1,900000000,0.11,240,tu5,12.77,16/09/2009,FALSE,18:07.0
9000010446,doanh nghiệp khác,chuyển khoản,1,đại học,white_staff,31798674,2040976.028,894651696,1,có gia đình,32,1,180000000,0.1,160,tu5,3.32,01/12/2018,FALSE,50:03.0
4000014782,doanh nghiệp khác,tiền mặt,11.08333333,đại học,white_manager,15000000,4980355.208,821470000,1,có gia đình,43,2,300000000,0.1,84,tu4den5nam,3.56,01/11/2017,FALSE,34:08.0
500019977,doanh nghiệp khác,tiền mặt,9.666666667,trung cấp,white_manager,51000000,12666666.67,1377720000,1,khác,43,1,950000000,0.11,240,tu1den3nam,2.21,01/06/2020,FALSE,13:38.0
820004246,doanh nghiệp khác,tiền mặt,25,đại học,white_manager,54333333,23641312.59,3751744360,1,độc thân,25,2,2200000000,0.1,180,tu1den3nam,1.06,31/03/2020,FALSE,17:17.0
5600005699,doanh nghiệp khác,chuyển khoản,15.58333333,đại học,white_manager,155440500,70343137.25,12204000000,1,có gia đình,50,2,5000000000,0.11,204,tu5,8.65,01/12/2013,FALSE,30:43.0
3100010539,tổ chức ngoài công lập,khác,0,cao đẳng,unknown,10000000,3226718.719,295380000,7,có gia đình,53,2,100000000,0.1,36,tu5,0,,FALSE,12:42.0
3100010883,doanh nghiệp khác,tiền mặt,20.33333333,cao đẳng,white_manager,65000000,5500000,3211520000,2,có gia đình,39,1,300000000,0.12,120,tu5,1.59,01/04/2021,FALSE,10:13.0
3100010883,doanh nghiệp khác,tiền mặt,20,cao đẳng,white_manager,50000000,9333333.333,1544000000,2,có gia đình,39,1,700000000,0.11,240,tu5,1.22,01/04/2021,FALSE,16:01.0
3100010917,tổ chức ngoài công lập,khác,2.75,cao đẳng,unknown,75047833,15583333.33,1433000000,2,khác,42,2,1100000000,0.12,240,tu5,0,,FALSE,01:19.0
3100010917,tổ chức ngoài công lập,khác,2,cao đẳng,unknown,48000000,24715917.71,3636922000,7,khác,41,2,2300000000,0.1,180,tu4den5nam,0,,FALSE,05:51.0
4170026996,tổ chức ngoài công lập,tiền mặt,18.66666667,đại học,business,27000000,12916666.67,9404661200,1,có gia đình,56,1,500000000,0.11,60,tu5,0,,FALSE,56:02.0
100132645,doanh nghiệp khác,tiền mặt,44,đại học,white_staff,15000000,5337493.633,777760000,1,độc thân,51,2,465000000,0.1,156,tu3den4nam,3.05,15/01/2018,TRUE,07:40.0
8020015279,tổ chức ngoài công lập,khác,8.833333333,trung cấp,business,36000000,12250000,1276860000,1,khác,39,2,700000000,0.11,120,duoi1nam,0,,FALSE,27:01.0
8020015279,tổ chức ngoài công lập,khác,8.583333333,trung cấp,business,16000000,10576923.08,1276860000,1,khác,39,2,500000000,0.1,78,tu5,0,,FALSE,45:08.0
650003927,doanh nghiệp khác,tiền mặt,3.5,cao đẳng,white_staff,30000000,8300592.013,13857180000,2,có gia đình,50,1,500000000,0.1,84,tu1den3nam,2.6,17/06/2019,FALSE,22:41.0
610007442,doanh nghiệp khác,tiền mặt,2,đại học,white_manager,47360000,6607536.844,6569760000,1,có gia đình,54,1,500000000,0.1,120,tu4den5nam,4.6,03/06/2016,FALSE,15:07.0
9000015977,tổ chức ngoài công lập,tiền mặt,5,trung cấp,unknown,20000000,10746051.18,1486427000,2,có gia đình,45,1,1000000000,0.1,180,tu1den3nam,0,,FALSE,38:48.0
9000016985,tổ chức công,tiền mặt,1,đại học,white_staff,11000000,2149210.235,295580000,1,khác,36,2,200000000,0.1,180,tu3den4nam,2.06,11/03/2019,FALSE,47:24.0
9000017003,tổ chức ngoài công lập,khác,0.75,đại học,unknown,57955732,9625000,2652965000,3,có gia đình,39,2,550000000,0.11,120,duoi1nam,0,,FALSE,53:51.0
400040770,doanh nghiệp khác,tiền mặt,6,đại học,white_staff,50000000,31056087.9,4817742600,1,có gia đình,39,1,2890000000,0.1,180,tu1den3nam,2.15,01/03/2019,TRUE,42:29.0
7000026272,tổ chức ngoài công lập,khác,1.25,đại học,unknown,15000000,6125000,624928000,1,có gia đình,27,2,350000000,0.11,120,tu1den3nam,0,,FALSE,39:48.0
650004887,tổ chức ngoài công lập,tiền mặt,1,đại học,unknown,66230000,38227706.11,3993574000,1,có gia đình,60,1,1350000000,0.1,42,duoi1nam,0,,FALSE,16:11.0
2170004008,doanh nghiệp khác,tiền mặt,43.5,cao đẳng,white_manager,29000000,10666666.67,1362340000,2,có gia đình,44,1,800000000,0.11,240,tu4den5nam,4.36,15/05/2018,FALSE,23:48.0
4000021054,tổ chức công,chuyển khoản,1.5,đại học,white_manager,69438100,17333333.33,1682200000,2,có gia đình,32,2,1300000000,0.11,240,tu5,7.41,27/04/2015,FALSE,55:49.0
4000021054,tổ chức ngoài công lập,chuyển khoản,0,đại học,white_manager,39384480,8596840.942,1339960000,2,có gia đình,31,2,800000000,0.1,180,tu5,0.04,27/04/2021,FALSE,07:08.0
920005587,tổ chức ngoài công lập,khác,2,trung cấp,unknown,18000000,8225000,790247000,1,khác,43,1,470000000,0.11,120,duoi1nam,0,,FALSE,21:34.0
110070449,tổ chức ngoài công lập,tiền mặt,39.58333333,trung cấp,unknown,34083334,20694444.44,2579880000,2,có gia đình,39,1,1500000000,0.11,216,tu1den3nam,0,,FALSE,10:39.0
720009413,doanh nghiệp khác,chuyển khoản,5,đại học,unknown,14796667,7522235.824,1693346100,1,có gia đình,33,1,700000000,0.1,180,tu1den3nam,1.2,08/11/2019,FALSE,37:18.0
4000022086,tổ chức công,chuyển khoản,4,đại học,white_manager,28768240,4298420.471,679950000,2,có gia đình,37,2,400000000,0.1,180,tu5,0.17,31/12/2021,FALSE,44:24.0
500039658,tổ chức ngoài công lập,khác,1.25,cao đẳng,business,100384500,37333333.33,4034228213,1,có gia đình,31,2,2800000000,0.11,240,tu1den3nam,0,,FALSE,29:59.0
7000032615,tổ chức công,chuyển khoản,35.25,đại học,white_manager,33580094,5250000,2317769900,1,có gia đình,35,2,300000000,0.11,120,tu5,8.34,25/12/2013,FALSE,46:36.0
7000032615,tổ chức công,chuyển khoản,34,đại học,white_staff,18297415,6447630.706,1505157200,1,có gia đình,34,2,600000000,0.1,180,tu5,7.25,25/12/2013,FALSE,51:18.0
130146018,tổ chức ngoài công lập,khác,35,trung cấp,business,50000000,26865127.94,3601260000,7,có gia đình,35,1,2500000000,0.1,180,tu3den4nam,0,,FALSE,33:30.0
490010837,doanh nghiệp khác,tiền mặt,16,cao đẳng,white_staff,15000000,8059538.383,1252125000,1,khác,39,2,750000000,0.1,180,tu1den3nam,1.17,07/04/2020,FALSE,22:57.0
120074433,doanh nghiệp khác,tiền mặt,33,đại học,white_manager,32000000,10531130.15,1410514000,1,độc thân,33,1,980000000,0.1,180,tu3den4nam,3.34,05/09/2017,FALSE,41:58.0
5600016824,tổ chức ngoài công lập,khác,24.66666667,đại học,business,22000000,5333333.333,579000000,1,có gia đình,32,1,400000000,0.11,240,tu1den3nam,0.02,20/07/2022,FALSE,21:46.0
830009114,doanh nghiệp khác,tiền mặt,7,trung cấp,white_staff,30000000,10746051.18,2627751000,1,có gia đình,48,2,1000000000,0.1,180,tu4den5nam,4.97,01/06/2016,FALSE,38:57.0
3100016188,tổ chức ngoài công lập,khác,2.166666667,cao đẳng,unknown,10000000,5333333.333,735000000,7,khác,40,2,400000000,0.11,240,tu1den3nam,0,,FALSE,53:36.0
5010014577,tổ chức ngoài công lập,khác,2,trung cấp,business,23836750,7522235.824,1223000000,2,có gia đình,34,1,700000000,0.1,180,tu5,0,,FALSE,57:46.0
4000024624,tổ chức ngoài công lập,tiền mặt,17,đại học,business,18000000,6447630.706,1019383680,1,độc thân,28,1,600000000,0.1,180,duoi1nam,0,,FALSE,24:39.0
650006793,doanh nghiệp khác,tiền mặt,0.083333333,đại học,white_staff,9000000,3320236.805,1105610000,1,độc thân,37,1,200000000,0.1,84,tu1den3nam,2.84,10/07/2018,FALSE,42:03.0
5400015638,doanh nghiệp khác,tiền mặt,7.583333333,cao đẳng,white_manager,30000000,17500000,1691536500,1,có gia đình,52,2,1000000000,0.11,120,tu1den3nam,1.46,15/12/2020,FALSE,29:23.0
100556322,doanh nghiệp khác,tiền mặt,2,trung cấp,blue_staff,15000000,8059538.383,1252230000,7,độc thân,25,1,750000000,0.1,180,tu3den4nam,3.48,06/08/2017,FALSE,29:40.0
650006841,doanh nghiệp khác,tiền mặt,13,đại học,white_staff,51500000,32238153.53,4604650000,1,độc thân,35,1,3000000000,0.1,180,tu1den3nam,2.37,10/01/2019,FALSE,23:52.0
650006841,doanh nghiệp khác,tiền mặt,14.5,đại học,white_manager,85000000,13333333.33,6092690000,1,độc thân,36,1,1000000000,0.11,240,duoi1nam,0.83,15/10/2021,FALSE,29:00.0
5400016062,doanh nghiệp khác,tiền mặt,1.333333333,đại học,white_manager,50000000,28000000,3042000000,1,độc thân,39,1,2100000000,0.11,240,tu5,3.24,01/02/2019,FALSE,16:20.0
400048819,doanh nghiệp khác,chuyển khoản,4,đại học,white_manager,130160522,65391304.35,6656430000,3,có gia đình,41,2,4800000000,0.12,276,tu5,0.26,13/07/2022,FALSE,53:43.0
700042685,tổ chức công,chuyển khoản,5.5,đại học,white_staff,22362627,3652260.486,748998000,2,có gia đình,37,2,220000000,0.1,84,tu5,12.19,25/11/2008,FALSE,03:08.0
720015739,doanh nghiệp khác,tiền mặt,13,đại học,unknown,101000000,53730255.89,7806583000,1,có gia đình,47,2,5000000000,0.1,180,tu3den4nam,3.7,01/09/2017,FALSE,15:25.0
120076277,doanh nghiệp khác,tiền mặt,43.08333333,cao đẳng,white_manager,45000000,10666666.67,2170560000,2,có gia đình,43,1,800000000,0.11,240,tu1den3nam,2.82,01/10/2019,FALSE,13:36.0
120076277,doanh nghiệp khác,tiền mặt,42.91666667,cao đẳng,white_manager,30000000,20000000,2461195000,2,có gia đình,43,1,1500000000,0.11,240,tu1den3nam,2.65,01/10/2019,FALSE,57:22.0
9000024492,tổ chức ngoài công lập,tiền mặt,5,đại học,unknown,13000000,6737500,388986000,2,có gia đình,35,1,385000000,0.11,120,tu1den3nam,0,,FALSE,07:00.0
550008462,tổ chức ngoài công lập,tiền mặt,16.33333333,đại học,business,81242875,29333333.33,4117617000,7,có gia đình,37,1,2200000000,0.11,240,tu3den4nam,0,,TRUE,40:03.0
1100006880,doanh nghiệp khác,tiền mặt,0,đại học,white_manager,55000000,10746051.18,8040560000,2,có gia đình,31,2,1000000000,0.1,180,tu5,1.41,02/01/2020,FALSE,26:45.0
600036304,doanh nghiệp khác,tiền mặt,5.833333333,đại học,white_staff,20809200,7000000,1551840000,2,có gia đình,44,1,400000000,0.11,120,tu5,0.7,01/11/2021,FALSE,23:27.0
5200022320,doanh nghiệp khác,chuyển khoản,10,đại học,white_staff,16058850,5373025.589,2184087400,2,có gia đình,47,1,500000000,0.1,180,tu5,5.18,01/01/2016,FALSE,03:21.0
810007943,tổ chức ngoài công lập,khác,6,trung cấp,business,44173308,30088943.3,5217505000,3,có gia đình,45,2,2800000000,0.1,180,tu5,0,,FALSE,04:08.0
300094398,doanh nghiệp khác,tiền mặt,1,đại học,white_manager,45213239,10208748.62,2103837000,1,có gia đình,47,2,950000000,0.1,180,tu1den3nam,2.19,16/04/2019,FALSE,56:58.0
500047804,tổ chức công,tiền mặt,42.16666667,đại học,white_manager,29529126,5392655.251,1336120000,1,có gia đình,42,1,400000000,0.1,116,tu5,5.18,17/02/2016,FALSE,34:00.0
6000036199,tổ chức ngoài công lập,tiền mặt,4,trung cấp,unknown,80000000,9671446.059,5875399698,1,có gia đình,47,1,900000000,0.1,180,tu5,0,,FALSE,18:19.0
5600022951,doanh nghiệp lớn,chuyển khoản,5.166666667,đại học,white_staff,27506579,6666666.667,853180000,1,độc thân,25,1,500000000,0.11,240,tu3den4nam,0.65,17/09/2021,FALSE,47:00.0
900036750,tổ chức ngoài công lập,tiền mặt,18,trung cấp,unknown,45000000,22231005.33,2116600000,2,có gia đình,40,2,1200000000,0.1,72,duoi1nam,0,,FALSE,20:08.0
300095519,doanh nghiệp khác,tiền mặt,3,đại học,white_manager,37500000,8300592.013,1728070000,1,có gia đình,36,1,500000000,0.1,84,tu5,2.35,01/09/2018,FALSE,51:45.0
820008525,doanh nghiệp khác,chuyển khoản,5,cao đẳng,white_manager,47033198,4835723.03,1577988000,2,có gia đình,37,1,450000000,0.1,180,tu4den5nam,4.77,21/07/2016,FALSE,41:09.0
4130117407,tổ chức ngoài công lập,tiền mặt,9,đại học,unknown,35000000,8000000,2833864800,2,có gia đình,43,1,600000000,0.11,240,tu5,0,,FALSE,42:04.0
4130117407,doanh nghiệp khác,tiền mặt,7,đại học,white_manager,14946500,2643014.738,2616574600,1,có gia đình,42,1,200000000,0.1,120,tu4den5nam,4.14,10/05/2017,FALSE,22:13.0
740009194,doanh nghiệp khác,tiền mặt,3,đại học,unknown,41466667,17193681.88,2385000000,7,khác,35,2,1600000000,0.1,180,tu1den3nam,1.75,14/03/2020,FALSE,50:52.0
620017563,doanh nghiệp khác,tiền mặt,2.333333333,đại học,white_staff,515000000,206437678.5,28763790000,3,có gia đình,41,1,20000000000,0.11,240,tu5,5.72,01/08/2016,FALSE,48:21.0
3100019291,tổ chức ngoài công lập,tiền mặt,8.083333333,đại học,business,31000000,4980355.208,2763228000,1,khác,52,2,300000000,0.1,84,tu3den4nam,0,,FALSE,43:13.0
2000084095,tổ chức ngoài công lập,khác,12,đại học,unknown,44000000,6984933.265,935880000,7,có gia đình,37,1,650000000,0.1,180,tu1den3nam,0,,FALSE,06:47.0
330006817,doanh nghiệp khác,tiền mặt,12.66666667,đại học,white_manager,30000000,9166666.667,4400000000,1,có gia đình,45,2,500000000,0.12,120,tu1den3nam,1.43,05/05/2021,FALSE,04:48.0
830012987,tổ chức công,tiền mặt,30,đại học,white_staff,10711197,4298420.471,1179114500,2,khác,38,2,400000000,0.1,180,tu5,15.48,25/09/2006,FALSE,28:08.0
5400018930,doanh nghiệp khác,chuyển khoản,3.916666667,đại học,white_staff,64940927,13333333.33,3053190000,3,có gia đình,31,1,1000000000,0.11,240,tu4den5nam,3.64,01/11/2018,FALSE,10:26.0
6000036807,tổ chức ngoài công lập,khác,3.583333333,đại học,unknown,25000000,8370370.37,3079010177,7,khác,46,2,400000000,0.14,108,tu5,0,,FALSE,35:05.0
5600023907,doanh nghiệp khác,tiền mặt,12.91666667,đại học,white_manager,30000000,10755704.37,3144799750,2,có gia đình,39,1,900000000,0.1,144,tu1den3nam,0,26/04/2021,FALSE,38:39.0
820008680,tổ chức ngoài công lập,khác,0.916666667,trung cấp,unknown,46647660,23555555.56,5890600000,2,có gia đình,50,1,1600000000,0.11,180,tu5,0,,FALSE,02:00.0
620017673,doanh nghiệp khác,tiền mặt,6.5,đại học,white_manager,125000000,90384615.38,11939001719,1,có gia đình,56,1,5000000000,0.14,156,tu3den4nam,3.7,01/04/2019,FALSE,16:30.0
600037013,doanh nghiệp khác,tiền mặt,1.25,đại học,white_manager,25000000,10000000,1451219400,2,có gia đình,35,1,750000000,0.11,240,tu1den3nam,1.73,18/08/2020,FALSE,24:36.0
600037147,doanh nghiệp khác,tiền mặt,33,đại học,white_manager,42500000,4835723.03,3400000000,1,có gia đình,32,1,450000000,0.1,180,tu1den3nam,2.3,01/01/2019,FALSE,47:19.0
300097999,doanh nghiệp khác,tiền mặt,2.166666667,đại học,white_manager,85120808,28666666.67,3153900000,2,có gia đình,40,2,2150000000,0.11,240,duoi1nam,0.97,01/06/2021,FALSE,49:11.0
700049307,tổ chức ngoài công lập,tiền mặt,13,đại học,business,124310726.8,20000000,5000197500,7,khác,41,2,1500000000,0.11,240,tu5,1.12,01/04/2021,FALSE,14:22.0
